epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.6472,0.76259,0.56,1,0.70258,0.00010002,0.00010002,0.00010002
2,33.3604,0.67676,0.96,1,0.54052,0.000202407,0.000202407,0.000202407
3,48.4472,0.55903,1,1,0.28028,0.000289391,0.000289391,0.000289391
4,58.1602,0.4226,1,1,0.13685,0.000360972,0.000360972,0.000360972
5,73.2918,0.53054,1,1,0.04537,0.00041715,0.00041715,0.00041715
6,82.1275,0.39099,1,1,0.02725,0.000457925,0.000457925,0.000457925
7,90.6234,0.40698,1,1,0.01611,0.000483297,0.000483297,0.000483297
8,103.596,0.37637,1,1,0.0295,0.000493265,0.000493265,0.000493265
9,112.411,0.28188,1,1,0.02735,0.000487831,0.000487831,0.000487831
10,121.205,0.33914,1,1,0.03608,0.000466993,0.000466993,0.000466993
11,135.619,0.32763,1,1,0.04845,0.000430753,0.000430753,0.000430753
12,146.889,0.20566,1,1,0.05437,0.000379109,0.000379109,0.000379109
13,160.757,0.42827,1,1,0.06226,0.000312062,0.000312062,0.000312062
14,167.579,0.48378,1,1,0.06028,0.000229613,0.000229613,0.000229613
15,174.686,0.23021,1,1,0.03656,0.000126692,0.000126692,0.000126692
