epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.7646,0.41912,0.86441,1,0.37594,0.00048343,0.00048343,0.00048343
2,117.082,0.29502,0.83898,1,0.33173,0.000918617,0.000918617,0.000918617
3,165.683,0.24745,0.91525,1,0.20695,0.00128779,0.00128779,0.00128779
4,208.678,0.27293,0.87288,1,0.27317,0.00133693,0.00133693,0.00133693
5,250.664,0.19813,0.9661,1,0.15055,0.00122691,0.00122691,0.00122691
6,283.294,0.21255,0.91525,1,0.14255,0.00111689,0.00111689,0.00111689
7,321.663,0.18356,0.9661,1,0.09232,0.00100687,0.00100687,0.00100687
8,358.009,0.16239,0.9661,1,0.09555,0.000896846,0.000896846,0.000896846
9,390.312,0.16344,0.9661,1,0.08011,0.000786824,0.000786824,0.000786824
10,424.177,0.11475,0.97458,1,0.07904,0.000676802,0.000676802,0.000676802
11,458.801,0.11809,0.99153,1,0.06616,0.00056678,0.00056678,0.00056678
12,491.067,0.13982,0.99153,1,0.04989,0.000456758,0.000456758,0.000456758
13,523.576,0.08425,0.99153,1,0.05441,0.000346736,0.000346736,0.000346736
14,556.189,0.09848,0.99153,1,0.03754,0.000236714,0.000236714,0.000236714
15,590.897,0.0956,0.98305,1,0.03987,0.000126692,0.000126692,0.000126692
