epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,75.4712,0.52235,0.79024,1,0.39744,0.00041675,0.00041675,0.00041675
2,160.319,0.30391,0.80488,1,0.35745,0.000841753,0.000841753,0.000841753
3,250.058,0.23623,0.87805,1,0.29442,0.00125817,0.00125817,0.00125817
4,326.901,0.21285,0.89268,1,0.30481,0.00161749,0.00161749,0.00161749
5,401.309,0.24163,0.86341,1,0.34773,0.00160099,0.00160099,0.00160099
6,476.556,0.234,0.82927,1,0.77687,0.00158448,0.00158448,0.00158448
7,551.372,0.18817,0.87805,1,0.31567,0.00156798,0.00156798,0.00156798
8,625.232,0.18834,0.85854,1,0.32342,0.00155148,0.00155148,0.00155148
9,699.171,0.18802,0.87317,1,0.22675,0.00153497,0.00153497,0.00153497
10,772.817,0.16003,0.86341,1,0.4413,0.00151847,0.00151847,0.00151847
11,846.465,0.15477,0.89268,1,0.64153,0.00150197,0.00150197,0.00150197
12,919.931,0.17036,0.90244,1,0.31192,0.00148546,0.00148546,0.00148546
13,997.04,0.13177,0.85854,1,0.48279,0.00146896,0.00146896,0.00146896
14,1070.84,0.1101,0.88293,1,0.54759,0.00145246,0.00145246,0.00145246
15,1144.14,0.12608,0.88293,1,0.36511,0.00143595,0.00143595,0.00143595
16,1224.78,0.12276,0.90244,1,0.43246,0.00141945,0.00141945,0.00141945
17,1319.53,0.10092,0.89756,1,0.51475,0.00140295,0.00140295,0.00140295
18,1414.43,0.07713,0.9122,1,0.40035,0.00138644,0.00138644,0.00138644
19,1499.19,0.08579,0.8878,1,0.44359,0.00136994,0.00136994,0.00136994
20,1581.58,0.08066,0.88293,1,0.5629,0.00135344,0.00135344,0.00135344
21,1661.01,0.0615,0.89756,1,0.47308,0.00133693,0.00133693,0.00133693
22,1736.02,0.09441,0.83902,1,0.85294,0.00132043,0.00132043,0.00132043
23,1811.55,0.1085,0.90244,1,0.54582,0.00130393,0.00130393,0.00130393
24,1889.23,0.10682,0.90732,1,0.5966,0.00128742,0.00128742,0.00128742
25,1963.35,0.10063,0.8878,1,0.68851,0.00127092,0.00127092,0.00127092
26,2039.51,0.10847,0.86341,1,0.63186,0.00125442,0.00125442,0.00125442
27,2131.13,0.10163,0.90244,1,0.38002,0.00123791,0.00123791,0.00123791
28,2211.76,0.08789,0.90244,1,0.3984,0.00122141,0.00122141,0.00122141
29,2296.11,0.09118,0.89268,1,0.72769,0.00120491,0.00120491,0.00120491
30,2384.01,0.06615,0.89268,1,0.52175,0.0011884,0.0011884,0.0011884
31,2461.25,0.06692,0.8878,1,0.40975,0.0011719,0.0011719,0.0011719
32,2540.58,0.05154,0.8878,1,0.44353,0.0011554,0.0011554,0.0011554
33,2615.21,0.0691,0.90732,1,0.64812,0.00113889,0.00113889,0.00113889
34,2688.41,0.05903,0.88293,1,0.44082,0.00112239,0.00112239,0.00112239
35,2761.71,0.04763,0.89268,1,1.21236,0.00110589,0.00110589,0.00110589
36,2835.17,0.05198,0.90244,1,0.47938,0.00108938,0.00108938,0.00108938
37,2907.99,0.07677,0.89268,1,0.45656,0.00107288,0.00107288,0.00107288
38,2980.44,0.07782,0.89756,1,0.56044,0.00105638,0.00105638,0.00105638
